name,Tc
Hg0.5Tl1.5Ba2Y0.4Ca0.6Cu2O8-z,
Nd1Fe1As1F0.18O0.82,50
Y1Ba2Cu2.85Zn0.15O7,
Hg0.8Ge0.2Ba2Ca1Cu2O6.2,124
Nb0.44Ti0.56,8.99
La0.8Pr0.2Ba1Ca1Cu3O7,52
La2Cu1O4,
Be0.957Re0.043,9.67
Mg0.6Ti0.4B2,37.5
Bi1.7Sr1.3Ca2Cu3OX,95
Bi2Sr1.51La0.49Cu1O6+D,33.5
C60K3,19.3
Al1,1.159
Sm1Fe0.99Mn0.01As1F0.12O0.88,37.2
Mo0.6Ru0.4,8.7
La1.7Ba0.3Cu1O4+Z,16
Ba0.5K0.5Bi1O3,19.55
Ba1Cu1O2+X,
Y1Ba2Cu3O7,93
Mo0.3Si1,11.7
Y1Ba2Cu3O7-z,92
Y1Ba2Cu3O7,83
Tl1.07Sr2.04Lu0.29Ca0.61Cu1.99Oy,77
Sm1Fe1As1F0.12O0.88,50.1
Re0.67Y0.33,1.83
La1Pd2Ge2,1.12
La1Ni1B1N1,
Nd0.78La1.1Ce0.12Cu1O4-d,17
Y1Ba2Cu3O6.9,88
Tl0.9Sr1.6Yb0.4Ca1Cu2.1O7-z,78
Lu2Fe3Si5,6.1
Y1Ba2Cu3H0.91O6.91,91.4
La1.81Sr0.19Cu0.995Zn0.005O4,29
Bi2Sr2Ca0.6Y0.4Cu2O8,37
Nd2Cu1F0.1O3.9,
Bi1.6Pb0.4Sr2Ca1.5Sm0.5Cu3Oz,28
La1.78Sr0.22Cu0.96Zn0.04O4,
Nb3Sn0.5Zr0.5,16.5
Rh3Y1,1.07
Pd50.745Mo0.255Sb49,1.67
Dy1Ni2B2C1,6.24
U0.4La0.6Pd2Al3,
Er1Ba2Cu2.9Ni0.1OX,83.3
Ca1Fe1.8Co0.2As2,17.1
Y1Ba2Cu3.992Zn0.008O8,66.1
Be5Rh1,
La2Cu1O4,21.5
Ba1Ti2Sb1.9Sn0.1O1,
C8.1K1,0.152
Pr1Co1Ge3,
Gd0.97Pr0.03Ba2Cu3O7,93.1
Er1Ba2Cu3O6.91,92
La1.75Nd0.125Sr0.125Cu1O4,17.5
Y1Ba2Cu3H0.64O6.54,42.05
B2Mg1,38
Dy0.1Pr0.9Ba2Cu3O7,
Bi0.5Pb0.5,8.4
Al0.08Au0.92,0.088
Sr0.7Ca0.3Cu1O2,99
Y0.85K0.15Ba2Cu3O6.48,90.15
Pd2Sn1Y1,4.9
Tl0.2Hg0.8Ba2Ca2Cu3Oz,
Y1Ba2Cu3OZ,84.5
Nb3Rh0.3Ir0.7,
Eu1Fe1.78Ir0.22As2,21
Eu1Ba1Sr1Cu3O6.94,80
Nb99.861O0.139,9.03
Cr0.045Fe0.855Al0.1,
Ca0.4Na0.6Fe2As2,25
Eu1Ba2Cu2Co1O7.31,
Hg0.65V0.35Sr2Ca0.65Nd0.35Cu2Oz,81.5
Hf1,0.128
La0.23Th0.77Pb3,2161
Bi2Sr1.9Y0.1Ca1Cu2O8.24,94
Y1Ba2Cu3Co0.1OZ,91
Pr1.83Ce0.17Cu1O3.99,13
Ru1Sr2Gd1Cu2O8,27.5
V3Ga0.6Si0.4,9.5
Bi2Sr2Ca0.72Pr0.28Cu2O8+d,71
Bi2Sr2Ca1Cu2O8.198,78
Tl1,1.38
Bi2Sr2Ca1Cu1.97Zn0.03O8+d,
Fe1Se1,8.8
Mo0.3V0.7,0.76
Hf0.77Os0.23,
Pr1.74Ce0.15Sr0.11Cu1O3.96,18
La1.85Sr0.15Cu1O4,30
Er0.8Pr0.2Ba2Cu3O7-Z,80
Y1Ba2Cu3O7,86
La1.9Sm0.1Cu1O4,25
Y1Sr1.2Ba0.8Cu2.5B0.5O7,35
Bi8Sr8Ca4Cu9O34.16,94.2
Hg1Ba2Cu1O4+x,96
Ce1Bi1S2F0.7O0.3,2.68
Y1Ba2Cu3O6.95,
Mo0.65Pt0.1Re0.25,7.4
Mo0.22U0.78,2.06
S3Ta1,
La1Rh2,
Ga0.245Nb0.755,20.2
Y1Rh4B4,11.3
Bi1Pt1,1.21
Lu0.6Er0.4Ru1B2,6.295
Ga0.1Pb0.9,6.33
La1Ba2Cu2.4Fe0.6OZ,
Tm1Ni2B2C1,11
Nd2Cu1F0.24O3.76,27
Ga1,1.061
Bi1.95Sr1.75Nd0.3Cu1O4,30
C1V2,
Y1Ba2Cu3O6.74,60
As1Ru1,
C1.45La0.5Th0.5,14.2
Zr1Ru1P1,10.3
Nd1.4Ce0.2Sr0.4Cu0.985Zn0.015O4-Z,
Bi2.2Sr1.72La0.08Ca1Cu2O8,60.5
Sn2.6Mo15Se19,
La2Cu1O4.06,42
Nb3Pt1,8.7
La1.92Ba0.08Cu1O4,31.1
La1.92Ba0.08Cu1O4-z,28
Bi1Co1,0.49
In0.94Pb0.06,3.9
Dy0.35Ba0.65Pb0.1Cu0.9O3-Z,90.25
Y1Ba2Cu3O6.17,
Tl2Ba2Cu1O6+Z,37
Sr0.9Nd0.1Cu1O2,
In1,3.407
La2Cu1O4,
Y0.86Pr0.1Ca0.04Ba2Cu3O7-z,85.5
La1.8Sr0.2Cu1O4,32
Bi2Sr2Ca1Cu2O8.25,92
Al0.23Nb0.75Zr0.013,18.3
Ho1Ba1.6Sr0.4Cu4O8-Z,82
Bi2Sr2Ca0.4Y0.6Cu2Oz,
Na0.3Co1H2.6O3.3,4.3
Nb1,9.23
Y0.6Ca0.4Sr1.7Ba0.3Cu2Ga1O7,50
Y1Ba2Cu3O6.52,52.8
Mo0.95Hf0.05C0.75,14.2
Bi2.1Sr1.93Ca0.67Er0.3Cu2O8+z,36.4
Th1Ir1Ru1,2.53
Ca0.7Na0.3Fe2As2,
Y1Ba2Cu3O7-Z,90
Y0.8Pr0.2Ba2Cu3O7-d,75
La1.9Sr0.1Cu1O4,
Zr2Co0.75Ga0.25,5.1
Fe1Si1,
Be17Ta2,
Ga41Mo8,9.7
Ba1Fe1.848Rh0.152As2,22.2
Nb0.8Ga0.17Ni0.03,11.8
Hg1Ba2Cu1O4+z,95
Nd2Cu1O4,
Y0.95Pr0.05Ba2Cu3O6.96,91.5
Bi1.3Pb0.5Mo0.2Sr2Ca2Cu3OX,113.5
Re0.92V0.08,6.8
Hg0.5Bi0.5Sr0.5La0.5Cu1O5-z,27
Bi2.1Sr1.9Ca1Cu2O8.28,
Y1Ba2Cu2.7Zn0.3O6.92,47.2
Y1Ba2Cu2.76Zn0.24O7-d,9.6
Sm1.5Ba1.5Cu3O7.22,
La1.75Sr0.25Cu1O3.99,
Ca1Si2,1.58
Bi2Sr2Ca1Cu2O8.373,47.2
Lu1Ni1.83Co0.34B2C1,3.8
Y2Ba4Cu7O15-X,55
Tl1Sr3Ba1Cu2Co3OZ,52.2
Y1Ba2Cu3OZ,90.7
La1.82Sr0.18Cu0.975Ni0.025O4,
C60Rb3,28.6
Y0.375Lu0.625Ba2Cu3OX,86.9
Tm2Ir3Si5,
Ni2Nb1Al1,
Ba0.698Na0.302Fe2As2,18
Y0.3Pr0.7Ba2Cu4O8,
O3Sn0.21W1,
Fe0.96Ni0.04Se0.82,
La0.7Pr0.3Ba1.5Sr0.5Cu3O6.909,
Y1Ba2Cu3.95Zn0.05O8,47
H2Zr1,
Fe1.03Se1,
Tl1Ba2Ca2Cu3O9,123
Y1Ba2Cu3O6.85,89
Y1Ba1.4Sr0.6Cu4O7.8,78.5
Lu0.9Ho0.1Ru1B2,7.53
Y1Ba2Cu3O6.3,
Y1Ba2Cu2.94Zn0.06O7,64.9
Hg1Ba2Ca3Cu4FOz,114
Pd1Se1Te1,1.2
Gd0.001Nb0.999,9.18
Bi2Sr2Ca0.7Y0.3Cu1.95Zn0.05O8+z,48.7
H0.963Pd1,6.377
Bi2Sm0.5Ca2.5Cu2OZ,36.5
Ce1Fe1As0.9P0.1F0.05O0.95,19.3
Fe3Th7,2.09
Lu1Os3B2,4.62
Bi2Sr2Ca1Cu2O8+z,84
Mo0.25Sr2Ce2.01Nd0.99Cu2.75O11+z,31.7
Hf0.76Nb0.25,4.2
Eu0.887K0.113Fe2As2,
Mg1C1Ni2.995Ru0.005,6.91
Ag0.625Al0.375,0.106
B1Rh2,
Gd0.95Mo0.05Ba2Cu3O6.948,82.4
Si1,6.7
La1Fe1P1F0.05O0.95,6.7
Y1Ba2Cu3O7-d,93.1
C0.4Cu0.6Sr2Y0.86Sr0.14Cu2O7,
Mo0.8V0.2C1,12.8
Y1.6Ba2.4Cu3O10-X,90
Bi1Pb1Sr1.26La0.26Cu1O6,26
Y1Ba2Cu3O7,93
Mg0.94Ir0.06B2,28.1
Bi2Sr1.7Hg0.3Ca1Cu2Oz,81
Sr2Ru1O4,1.5
O0.95Ti1,0.8
Pr1Ru4As12,2.5
Y1Sr2Cu2.6Co0.4O6.8,
Y1Ba2Cu2.6Ni0.4O7,71
Y0.9Pr0.1Ba2Cu3O6.97,88.1
Nb3Pt1,8.174
La0.3Nd0.7Pt2.1B2.4C1.2,4.28
Sr1.85Na0.15Cu1C1O5,
Eu1Fe2As1.28P0.72,
Bi2Sr2Ca1Cu2O8,89
Bi0.3Pb0.2La1.5Sr1Cu2O5.94,24
Ir0.85V0.15,0.26
Y1Ba1.8Cu3Oz,94
Mo0.6Pt0.1Re0.3,8.5
La1.86Sr0.14Cu0.994Zn0.006O4,
Nd1Pd2Al3,
La1.6Sr0.4Ca0.5Tm0.5Cu2O6-Z,
Y1Ba2Cu3.96Co0.04O8,62.5
Y1Ba1.8Sr0.2Cu4O8,76.8
Re0.25W0.75,4.6
Ho1Ba2Cu3O6.87,
Cu1S4V2,4.45
La0.92Lu0.08,3.72
Bi1Pb1Sr2Y1.65Ce0.35Cu2O10+z,25
Bi2Pd3S2,
Ca5.84Sr4.02Bi0.14Cu15.84O29,72
V2.97Nb0.03Si1,15.8
Tl1Ba1.4La0.6Cu1O5,38
Bi0.045Sn0.955,3.88
Ge1Te1,0.08
Y1Ba2Cu3O6.48,48
Sr2.3Ca0.7Cu2Cl1.3O4+Z,80
Nb75Ga15Al10,18.55
Ca1Zn5,
Ca1Gd1Cu1Cl1O3,
Bi1.7Pb0.3Sr2Ca0.6Y0.4Cu1.94Zn0.06O8,53.5
La1.87Sr0.13Cu0.99Zn0.01O4,18.83
Mo1.75Ru1.25B2,3.7
Y1Ba1.972Ba0.028Cu3O7-z,87
Sn1,3.73
Bi2Sr2Ca1Cu2O8+z,90
Y0.7Ca0.3Sr2Cu2.5Se0.5O7-z,45
La1.85Sr0.15Cu1O4,37
Ca1Fe0.9Cr0.1As1F1,
P1S1Ta1,
Mo1Sr2Y1Cu2O8-z,22
Tl2Ba2Cu1O6+Z,
Gd1Ba2Cu3OZ,91
Y1Ba2Cu3O7,
Nd1Rh4B4,5.31
Re0.3Ta0.7,
Ru1Sr2Ho1.5Ce0.5Cu2O10-z,
Ti0.516V0.484,7.2
Ta0.8Mo0.2C1,8.5
Y1Ba2Cu3O6.92,92
Sr1Bi1S2F1,
Tl0.51Pb0.5Sr0.8Ba0.2Ca2Cu3U0.02Oz,114
Bi2Sr1.8La0.2Cu0.9Zn0.1Oz,
Ni25Th75,3.7
La3Ca0.2Cd0.8Ba3Cu7O16.261,
Ru2Th1,3.56
Ca10Pt3.617Fe9.383As18,13.6
Y0.86Sr2.14Cu2.6C0.4O7,
Bi1.95Sr1.65La0.4Cu1O6.36,23
B6La1,
B1Mo1.75Ta0.25,3.05
La1.3Ba1.5Ca0.2Cu3O6.7,20
Ca0.4M1Hf1N1Cl1,22.4
Ta4Pd3Te16,4.46
B2Mg1,39.1
La1.93Sr0.07Cu1O4,19
Bi1.6Pb0.4Sr1.6La0.4Cu1OY,26
La1.5Ba1.3Ca0.2Cu3O6.897,16
K1.1Bi1O3,8.8
Nd1.85Ce0.15Cu0.98Zn0.02O4,13
Tm1Ba2Cu3O6.65,92.5
Ru0.1Ti0.9,3.5
Y1Ba2Cu2.94Ti0.06O6.91,77
Ce1Ir0.736Pt0.264In5,
Y0.8Pr0.2Ba2Cu3O7-z,79.5
Nd1.85Ce0.15Cu0.999Ni0.001O4,19.5
Bi2Ca1Sr2Cu2O8,88
Ru1W1,7.5
Th0.999U0.001,0.654
Y1Ba2Cu3OZ,53
Nd1.85Ce0.15Cu1O4,22
Pr0.55Nd0.45Os4Sb12,1.01
Eu1Ba2Cu2.8Co0.2O6.98,55.3
Dy0.9Ca0.1Ba2Cu2.7Zn0.3O6.72,21
Pr0.6Ca0.4Fe1As1O1,
Ru1Sr2Eu1Cu2O8,23.5
Nb1Rh1P1,4.42
Ca1La1Ba1Cu2.88Zn0.12O7,14
Nb78Ga20Mn2,8.87
Na0.75Zr1N1Cl1,14.3
La1.825Sr0.175Cu0.99Ru0.01O4,29.6
Bi2Sr2Ca2Cu3O10+Z,107
Bi2Sr2Ca0.1Pr0.9Cu2O8.53,
Y1Ba2Cu3O6.82,85
Sm1Fe1As1O0.7,52.1
La1.84Sr0.16Cu0.987Ni0.013O4,25
La1.6Y0.4Ba2Ca0.8Cu4.8O11.86,
Ba0.56La0.44Fe2As2,
Hg0.7V0.3Sr1.5La0.5Cu1O4+z,49.7
Y0.82Pr0.1Ca0.08Ba2Cu3O7-z,83.4
S1Ti1,
Lu0.7Pr0.2Ca0.1Ba2Cu3O7-z,74
Nb3Rh0.9Pt0.1,2.8
Y1Ba2Cu2.9955Zn0.0045O6.95,90
La1.905Ba0.095Cu1O4,31
La1.35Ca0.15Nd0.5Cu1O4,26
Y1Ba2Cu3O6.95,91
Nd1Ba2Cu3O7.16,95.3
Ba1Ga1Si1,4.2
Tb1Fe1As1O0.82,43.8
Sr0.6K0.4Fe2As2,38
Cr1,
Ga0.6Cd0.4Sr2Y0.7Ca0.3Cu2O7+z,52.5
La2.5Y0.5Ca1Ba3Cu7Fe7O16.574,80
Bi0.33Hg0.67Sr2Y0.5Ca0.5Cu2O7,92
Y0.7Pr0.3Ba2Cu3O7-Z,60.4
Fe1Se0.8S0.2,10.8
La1.85Sr0.15Cu0.995V0.005O4+z,36.9
Sm1Ba2Cu3O6.55,12.8
U0.9622Th0.0378Be13,0.557
Y1Ba2Cu3O6.63,62
Bi0.4Pd0.6,3.7
La1.81Sr0.19Cu1O4,
Pb2Sr2Ca0.5Y0.5Cu3Oz,71
Bi2S2F0.1O0.9,4.43
Co0.15Ti0.85,3.8
Eu1Ba2Cu3O6.82,94
Ag0.03Tl0.97,2.67
Pd2.2S1,1.63
Mg1Co1Ni2.91Co0.09,6
Sm1.2Ba1.8Cu3O6.965,47
Fe0.4Ni0.6Zr2,1.78
Ce0.8La0.2Ru2,4.77
K2Cr3As3,6.1
Bi1Re2,2.2
La1.55Nd0.3Ca0.028Ba0.122Cu1O4,
Bi2Sr2Ca1Cu2O8,83
Y1Ba1.5Sr0.5Cu3O7-Z,87.4
Y1Ba2Cu3O6.3,
Os2Th1,
Ba0.1Sr0.9Ti1O3,0.1
B12Er1,
La1Ba2Cu1.5Fe1.5OZ,
Tl1Ba2Ca0.8Nd0.2Cu2O7,96.3
Ba1.7K0.3Pb0.9Bi0.1O4,11
Nb80Ga17Co3,11
Bi1.8Sr2Ca2Cu3OZ,95
Nb3Pd0.02Rh0.98,2.49
Mo0.94Fe0.06Ga4,2.6
Ru1Sr2Gd1Cu2O8,43
Bi2Sr2Ca0.6Gd0.4Cu2O8+z,61.1
Y0.6Ca0.4Sr1.8Ba0.2Cu2Ga1O7-z,45
Tm1Ba2Cu4O8,80
Co1Sn2,
As2Hf1,
Ce1Ni0.8Bi2,4.1
Cu2Mg1,
C1Mo1,13
Ba0.9Yb0.1Fe2As2,20
Nd1Pt1Si1,
Na0.05Ta1S2,4
Sm1Fe0.95Ru0.05As1F0.15O0.85,42.7
Bi2Sr2Ca0.2Y0.8Cu2O8+z,
Sb1V3,0.5
Dy1Ba2Cu2.7Zn0.3O6.9,
Bi1.3Pb0.7Sr2Eu1.65Ce0.35Cu2OZ,37
Hg0.75W0.25Sr2Ho1.5Ce0.5Cu2Oz,64
Pr1.87Ce0.13Cu1O3.99,16
Y1.55Pr0.2Ca0.25Ba2Cu3O7-d,20.2
Y1Ba2Cu3O6.9,92
Ce1Ir1In4.95Sn0.05,
La1Mo6Se8,10.8
Bi1.7Pb0.3Sr2Ca2Cu3Cs0.4Oz,107.3
Pb1Te1,
Tl1Sr2Ca0.4Tb0.6Cu2O7,62
Nb25Ti70Zr5,7.5
Be13U1,2.06
Yb0.9Pr0.1Ba2Cu3O6.92,88
Nb0.75Al0.225Ge0.025,17.9
Y1.6Lu0.4Fe3Si5,1.65
Bi0.1Pb0.4La1.3Sr1.2Cu2O5.83,25
Bi1.7Pb0.2Mo0.1Sr2Ca2Cu3OX,110
Tl2Ba2Cu1O6,59
Rb0.76Fe1.62Se2,29.5
Pr1Os2.4Ru1.6Sb12,1.14
Mg0.95Cr0.05B2,
Sm1.82Ce0.18Cu1O4-y,8.8
Pd17Se15,2.2
Bi2Sr1.7La0.3Cu1O6+Z,28
Nb3Si1,18
Nb3Te1,
Pb0.5Cd0.5Sr2.1Ca0.2Y0.7Cu2O7-d,
Y1Ba2Cu3O6.38,11.3
Hf1Mo2,0.07
La1Fe1As0.6Sb0.4O1,
Pb0.6Cu0.4Sr1La1Cu1O5.15,32
Y1Ba2Cu2.85Ni0.15S0.15Oz,83
Sn1V3,3.4
Sm0.8Pr0.2Ba2Cu3O6.65,21
Y1Ba2Cu3O6.94,92.5
Hg0.5Bi0.5Sr1.75La0.25Cu1O5-z,27
La1.93Ba0.07Cu1O4,23.4
Hg1Ba2Cu1O4.36,40
Zr2Co0.9Ga0.1,5.72
B2Mg1,38.6
Sc0.1Zr0.9,
Na1Te1,
Y0.85Pr0.15Ba2Cu3O7-z,80
Y1Ba2Cu2.95Fe0.05O6.79,67.6
Y1Ni2B2C1,15.7
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.04,50
Bi2Sr2Ca1Cu2Li0.4Oz,91.2
La1.5Nd0.4Ba0.1Cu1O4,9.95
Y0.5Pr0.5Ba2Cu3O6.76,4
Er1Ba2Cu3O6.87,
Be0.934Ni0.066,0.88
Ge0.95Te1,0.246
La1.88Sr0.12Cu1O4,
Ba2Cu1Cl2O2,
Bi1.95Sr1.65La0.4Cu1O6+z,15
La1.875Ba0.125Cu0.92Zn0.08O4,
Nd0.85La1Th0.15Cu1O4,16
Nb0.71Mo0.29C1,13.45
Ce1Bi1S2F0.5O0.5,2.27
Bi1Pt1Te1,1.15
La1.85Sr0.15Cu0.94Ti0.06O4,
Lu0.5Y0.5Ni2B2C1,14.9
Bi2Sr2Ca1Cu2O8.28,75
Co1Zr2,6.3
Gd1Ba2Cu2.7Ni0.3O7-Z,32.3
U0.9La0.1Pd2Al3,
Tm1Rh4B4,9.8
Nb3Al0.9Ge0.1,19.5
Au3Te5,1.62
Tl1Ba2Ca2Cu3C0.2Oz,123.5
Ce0.94La0.06Ru2,6.55
Nd1Sr2Ta0.8Sn0.2O8-z,
Y1Ba2Cu2.94Zn0.06O6.53,
Pb1.14Ta2S5.14,3.3
La1.85Sr0.15Cu0.984Zn0.016O4,19
Tm1Ba2Cu3O6.94,89.88
C0.5Ba2Ca3Cu4.5O11+z,117
Nd1.85Ce0.15Cu1O4,19.2
Y1Ni2B2C1,16.01
Sr1Pd1.93Pt0.07Ge2,3.24
Y0.6Pr0.4Ba2Cu3O6.76,44.3
La1Fe0.85Co0.15As1O1,
Y0.8Ca0.2Ba1.85Nd0.15Cu3OZ,83
Sn0.97Te1,0.155
Y1Ba2Cu3O7-Z,92
Tl1Sr2Sr0.5Er0.5Cu2O7-Z,83.5
Mo6Se7.3S0.7,5.03
Th0.9La0.1Ru2,4.73
Ce1Fe1As1F0.16O0.84,41
Ga25Mn14V61,4.22
Ti0.975V0.025,1.4
Zr54.6Ti23.4Ni22,2.78
La1.91Ba0.09Cu1O4,
Ga1,7.85
Bi2Sr1.9La0.1Ca1Cu2OY,85.04
K0.8Fe1.7Se2,32
Li1.8Fe2Se2M1,40
W5Si1B2,5.8
La2Cu1O4,
M0.17Ta0.3W0.7S2,
Cu0.844Sb0.156,0.067
Hg1Tl2Sr4Ca2Cu4OZ,91.5
Nd1Fe1As1F0.18O0.82,52
Sm1Ba2Cu3O6.11,
La1.1Ba1.57Ca0.33Cu3Oz,43
Hg1Ba2Ca2Cu3F0.1Oz,127.4
Y1Ba2Cu2.94Zn0.06O6.03,
U0.99Gd0.01Pd2Al3,1.16
Pt1,0.0019
La1.825Sr0.175Cu1O4,27.5
Mg1B1.9C0.1,34
La1.943Sr0.076Cu1O4,16.5
Er2Fe3Si5,0.93
Bi2Sr2Ca1Cu2O8+z,85
Hg1.5Pb0.5Ba2Y0.3Ca0.7Cu2O8-z,80
Ba1Ir2P2,2.1
Bi2Cs1,4.75
La1.25Ca0.35Ba1.4Cu3O7.108,74.3
Ag1B2,6.7
Pb0.5Cd0.5Sr2Tb0.6Ca0.4Cu2O7,19
La1.9Sr0.1Cu1O4.018,40
Nd1Fe1As1F0.11O0.89,48
Nd1.25La0.6Ce0.15Cu1O4,23
Cs1Os2O6,3.3
Gd0.5Nd1.35Ce0.15Cu1O4,14.3
Ca8.44La1.56Pt3Fe10As18,32.3
Nd1Ba1.5Sr0.5Cu3O6.91,83
Y1Ba2Cu2.82Ni0.18O7,68
Mo0.25Sr2Ce2.01Y0.99Cu2.75O11+z,52.9
Re0.9V0.1,9.4
